name,Project_Creation,Issue_Id,Issue_Date,issue_id,,2010,January,February,March,April,May,June,July,August,September,October,November,December
mongo,2009-01-15 8:15,4630,2012-06-06 13:36,232,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4628,2012-06-06 21:25,233,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4561,2012-06-06 21:38,234,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4555,2012-06-06 21:41,235,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4551,2012-06-08 10:41,236,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3798,2012-06-08 12:39,237,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4549,2012-06-11 8:34,238,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4546,2012-06-12 10:32,239,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4543,2012-06-13 12:47,240,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4541,2012-06-13 14:07,241,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4538,2012-06-14 9:31,242,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4536,2012-06-14 10:41,243,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3796,2012-06-14 23:53,244,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4534,2012-06-19 5:51,245,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4531,2012-06-20 14:08,246,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4527,2012-06-21 8:32,247,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4524,2012-06-21 8:33,248,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4523,2012-06-21 8:34,249,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4518,2012-06-21 8:35,250,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4511,2012-06-21 11:48,251,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4509,2012-06-21 13:31,252,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3793,2012-06-26 19:10,253,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4507,2012-06-28 4:03,254,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3791,2012-06-28 4:12,255,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4506,2012-07-02 7:51,256,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4504,2012-07-03 1:52,257,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4503,2012-07-05 10:57,258,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4501,2012-07-07 5:47,259,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4498,2012-07-08 3:28,260,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4496,2012-07-09 9:21,261,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4494,2012-07-12 9:35,262,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4493,2012-07-12 10:17,263,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3789,2012-07-17 9:37,264,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4490,2012-07-18 14:03,265,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4488,2012-07-19 13:50,266,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4487,2012-07-23 5:19,267,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4482,2012-07-24 7:27,268,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3785,2012-07-25 7:26,269,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4480,2012-07-25 10:25,270,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4478,2012-07-25 12:33,271,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4469,2012-07-26 13:53,272,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4465,2012-07-31 7:48,273,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4464,2012-07-31 10:27,274,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3783,2012-08-01 4:22,275,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3781,2012-08-02 16:06,276,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4462,2012-08-03 10:58,277,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4454,2012-08-05 23:15,278,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4452,2012-08-06 9:18,279,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4449,2012-08-06 11:37,280,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4444,2012-08-07 9:47,281,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4441,2012-08-08 5:47,282,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4439,2012-08-08 6:20,283,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3780,2012-08-10 5:05,284,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4436,2012-08-10 7:58,285,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4434,2012-08-10 11:20,286,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4431,2012-08-10 12:32,287,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4428,2012-08-10 12:40,288,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3777,2012-08-10 12:44,289,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4425,2012-08-10 12:50,290,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4424,2012-08-10 13:04,291,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3775,2012-08-15 11:46,292,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4423,2012-08-19 6:00,293,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4418,2012-08-29 2:42,294,,,,,,,,,,,,,,
